NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010924,0.1535,0.1606,0.1527,0.1575,5910,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010925,0.1606,0.1606,0.1575,0.1575,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010926,0.1583,0.1662,0.1575,0.1662,5784,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010927,0.1686,0.1686,0.1646,0.167,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010928,0.171,0.171,0.1686,0.1694,2137,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011001,0.1694,0.1726,0.1694,0.1726,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011002,0.1702,0.175,0.1694,0.175,4149,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011003,0.1718,0.1765,0.1718,0.1734,5532,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011004,0.175,0.175,0.1742,0.175,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011005,0.175,0.175,0.1734,0.1734,754,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011008,0.163,0.1662,0.163,0.1662,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011009,0.1662,0.1686,0.1662,0.1686,377,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011010,0.1702,0.1718,0.1702,0.1718,377,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011011,0.1718,0.1718,0.1718,0.1718,0,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011012,0.175,0.175,0.1734,0.175,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011015,0.1742,0.1789,0.1742,0.1765,754,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011016,0.1789,0.1789,0.1765,0.1765,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011017,0.175,0.1765,0.175,0.1765,1257,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011018,0.175,0.1757,0.175,0.175,754,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011019,0.175,0.175,0.1742,0.175,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011022,0.175,0.175,0.175,0.175,0,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011023,0.175,0.175,0.1734,0.1734,1257,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011024,0.175,0.175,0.1726,0.1726,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011025,0.1734,0.1734,0.1726,0.1726,502,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011026,0.1726,0.1829,0.1718,0.1829,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011029,0.1734,0.1734,0.1734,0.1734,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011030,0.1718,0.1718,0.1718,0.1718,251,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011031,0.1702,0.171,0.1694,0.171,1005,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20011101,0.171,0.171,0.171,0.171,0,0
